replicateid,zone,population,access,beta,eir,pfpr2to10
14331,1,4973,0.616,0.50,41.383125,47.2180916666667
14321,1,4973,0.616,0.40,35.7038166666667,49.4516083333333
14332,1,4973,0.616,0.55,43.8006083333333,49.570225
14306,1,4973,0.616,0.60,52.6983333333333,50.0936666666667
14308,1,4973,0.616,0.70,66.226425,50.3461
14307,1,4973,0.616,0.65,64.99245,53.783925
14309,1,4973,0.616,0.75,76.241875,57.452
14311,1,4973,0.616,0.80,82.9765083333333,58.9384833333333
14316,1,4973,0.616,0.85,78.4851916666667,59.0340333333333
14317,1,4973,0.616,0.90,91.6399083333333,59.7681666666667
14315,1,4973,0.616,1.05,113.004833333333,60.6071416666667
14312,1,4973,0.616,1.00,112.58175,61.7417083333333
14319,1,4973,0.616,1.15,118.45775,62.278775
14313,1,4973,0.616,0.95,104.190666666667,62.3547333333333
14323,1,4973,0.616,1.20,120.156333333333,62.6039
14329,1,4973,0.616,1.40,156.81225,63.75995
14324,1,4973,0.616,1.25,118.671583333333,63.79905
14343,1,4973,0.616,1.45,145.42975,66.0798583333333
14348,1,4973,0.616,1.50,164.38525,66.2207916666667
14322,1,4973,0.616,1.35,149.774916666667,66.3483416666667
14318,1,4973,0.616,1.30,149.404583333333,66.7205416666667
14350,1,4973,0.616,1.60,178.89325,67.1211583333333
14314,1,4973,0.616,1.10,134.393583333333,67.233175
14349,1,4973,0.616,1.55,176.690166666667,68.3346583333333
14320,1,4973,0.616,1.65,183.34575,69.3363333333333
14336,1,4973,0.616,1.70,223.950583333333,69.5227083333333
14337,1,4973,0.616,1.75,230.867833333333,71.3885
16195,1,4973,0.633,0.011,0.0,0.0
16193,1,4973,0.633,0.01,0.0,0.0
16692,1,4973,0.633,0.015,0.0,0.0
16206,1,4973,0.633,0.012,0.0,0.0
16207,1,4973,0.633,0.013,0.0,0.0
16208,1,4973,0.633,0.014,0.0,0.0
16221,1,4973,0.633,0.016,0.0,0.0
15893,1,4973,0.633,0.01,0.0,0.0
16222,1,4973,0.633,0.017,0.0,0.0
16215,1,4973,0.633,0.015,0.0,0.0
14326,1,4973,0.633,0.00,0.0,0.0
16212,1,4973,0.633,0.018,0.252068083333333,1.14150366666667
15895,1,4973,0.633,0.02,0.4706385,1.23640325
16225,1,4973,0.633,0.022,0.220528416666667,1.30892583333333
16210,1,4973,0.633,0.023,0.6231595,2.0027025
16218,1,4973,0.633,0.019,0.371946833333333,2.5364295
16214,1,4973,0.633,0.025,0.537886833333333,2.70956833333333
16691,1,4973,0.633,0.022,0.386843083333333,2.71668833333333
16217,1,4973,0.633,0.028,0.807887833333333,3.16517666666667
16209,1,4973,0.633,0.024,0.869375,3.5100125
16213,1,4973,0.633,0.026,0.56783825,3.73306
16224,1,4973,0.633,0.021,0.700329166666667,3.88482083333333
