Study,Three Years,,,,,Five Years,,,,,Ten Years,,,,,
,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,
rwa-al-5-low,192885 (189314 - 195169),121497 (119092 - 122677),15614 (12480 - 17230),12.77 (10.47 - 14.10),0.60 (0.46 - 0.70),205529 (201233 - 206891),129174 (126589 - 130111),20788 (16825 - 22955),16.20 (13.29 - 17.55),0.76 (0.63 - 0.84),233872 (232119 - 235370),147102 (145873 - 147899),35473 (32251 - 37054),24.12 (22.03 - 25.09),0.97 (0.93 - 0.98),
rwa-al-5-moderate,191262 (189342 - 193285),120246 (118974 - 121546),13116 (10974 - 14774),10.94 (9.16 - 12.23),0.56 (0.43 - 0.65),203733 (200039 - 205709),128022 (125855 - 129350),17445 (15178 - 19740),13.64 (11.92 - 15.33),0.73 (0.60 - 0.80),232072 (231036 - 233338),145953 (145182 - 146870),31143 (28681 - 33571),21.28 (19.73 - 22.91),0.96 (0.93 - 0.98),
rwa-asaq-high,185776 (183390 - 187535),116672 (115263 - 117960),11066 (9955 - 12247),9.52 (8.72 - 10.38),0.51 (0.42 - 0.63),196836 (194805 - 198300),123827 (122670 - 124598),14124 (12559 - 15277),11.44 (10.19 - 12.27),0.65 (0.55 - 0.76),226841 (225571 - 228042),142666 (141846 - 143243),25517 (23972 - 26986),17.90 (16.82 - 18.87),0.93 (0.88 - 0.95),
rwa-asaq-low,185782 (183764 - 187760),116586 (115612 - 117842),12088 (10682 - 12949),10.31 (9.29 - 11.00),0.56 (0.43 - 0.62),197362 (195627 - 198870),123972 (123105 - 124857),15104 (13676 - 16166),12.22 (11.12 - 12.95),0.69 (0.57 - 0.75),227517 (226308 - 228527),143105 (142308 - 143680),27518 (26561 - 28637),19.23 (18.57 - 19.99),0.93 (0.89 - 0.95),
rwa-asaq-moderate,185518 (183585 - 187343),116455 (115379 - 117712),11261 (10143 - 12606),9.65 (8.82 - 10.83),0.51 (0.40 - 0.66),196798 (195383 - 198683),123702 (122773 - 124809),14584 (12939 - 15752),11.72 (10.54 - 12.62),0.65 (0.56 - 0.78),227050 (225417 - 228565),142775 (141803 - 143673),26589 (25462 - 27533),18.50 (17.86 - 19.27),0.92 (0.88 - 0.96),
rwa-dhappq-0.25,165920 (163949 - 167858),104195 (103081 - 105419),7401 (6439 - 8549),7.10 (6.19 - 8.11),0.54 (0.43 - 0.63),208693 (202640 - 215936),131458 (127700 - 135980),32131 (26969 - 38444),24.46 (21.23 - 28.27),0.80 (0.73 - 0.87),237763 (237068 - 238644),149478 (149203 - 150043),82725 (82468 - 83175),55.37 (55.26 - 55.46),1.00 (1.00 - 1.00),
rwa-dhappq-0.5,169397 (167309 - 172210),106525 (105174 - 108102),9906 (8443 - 11019),9.28 (8.09 - 10.18),0.56 (0.45 - 0.64),224273 (218570 - 227481),141341 (138022 - 143429),46146 (40745 - 50316),32.60 (29.77 - 35.15),0.85 (0.79 - 0.89),238512 (237514 - 238914),149902 (149310 - 150345),83200 (82808 - 83413),55.49 (55.40 - 55.55),1.00 (1.00 - 1.00),
rwa-dhappq-1.25,178947 (173582 - 183166),112614 (109258 - 115296),16003 (12449 - 19393),14.19 (11.44 - 16.91),0.60 (0.44 - 0.73),236716 (232406 - 238538),149008 (146483 - 150088),62239 (54658 - 67878),41.69 (37.31 - 45.15),0.89 (0.82 - 0.94),238185 (237230 - 238744),149803 (149188 - 150098),83080 (82780 - 83359),55.53 (55.44 - 55.61),1.00 (1.00 - 1.00),
rwa-dhappq-1.5,181214 (175770 - 185752),114182 (110629 - 117014),18166 (14008 - 22166),15.89 (12.63 - 18.76),0.62 (0.48 - 0.75),236018 (230612 - 237755),148584 (145254 - 149658),64412 (55298 - 69872),43.33 (38.14 - 46.38),0.90 (0.83 - 0.95),238188 (237394 - 238605),149778 (149329 - 150182),83132 (82736 - 83396),55.52 (55.43 - 55.59),1.00 (1.00 - 1.00),
rwa-dhappq-ec50-1.0,165496 (162552 - 166513),103848 (102149 - 104675),6666 (5197 - 7322),6.42 (5.09 - 7.03),0.55 (0.34 - 0.65),186535 (182168 - 188881),117181 (114457 - 118777),13709 (10625 - 15076),11.68 (9.28 - 12.69),0.70 (0.51 - 0.80),222832 (221787 - 223789),140008 (139418 - 140490),37706 (36689 - 38053),26.98 (26.03 - 27.26),0.98 (0.94 - 0.98),
rwa-dhappq-ec50-1.1,167386 (165782 - 169220),105158 (104009 - 106306),7981 (7057 - 8559),7.59 (6.77 - 8.10),0.57 (0.46 - 0.63),197422 (194060 - 199504),124250 (122173 - 125448),21732 (19591 - 23230),17.56 (16.15 - 18.50),0.77 (0.70 - 0.81),226594 (225957 - 227464),142453 (141969 - 143067),49993 (49729 - 50281),35.10 (34.95 - 35.27),0.99 (0.99 - 0.99),
rwa-dhappq-ec50-1.2,170038 (167175 - 171385),106766 (105156 - 107683),9481 (8258 - 10502),8.84 (7.83 - 9.79),0.56 (0.46 - 0.63),208888 (205270 - 211654),131616 (129134 - 133317),32025 (28826 - 34851),24.24 (22.30 - 26.04),0.81 (0.75 - 0.86),230541 (229836 - 231019),144952 (144411 - 145258),61709 (61405 - 61846),42.59 (42.39 - 42.67),1.00 (0.99 - 1.00),
rwa-dhappq-ec50-1.3,174406 (169994 - 175805),109592 (107060 - 110600),12624 (10396 - 13923),11.47 (9.66 - 12.69),0.61 (0.49 - 0.69),223965 (218826 - 226869),141102 (137860 - 142821),47220 (41493 - 50497),33.47 (30.18 - 35.22),0.88 (0.80 - 0.91),234462 (233780 - 235475),147491 (147068 - 148024),72966 (72698 - 73224),49.46 (49.39 - 49.54),1.00 (1.00 - 1.00),
rwa-dhappq-ec50-1.5,179137 (174055 - 183417),112849 (109764 - 115278),17071 (13480 - 20141),15.24 (12.34 - 17.52),0.63 (0.48 - 0.72),243654 (239219 - 245395),153263 (150694 - 154469),72112 (63184 - 76127),46.97 (41.96 - 49.78),0.91 (0.85 - 0.94),240932 (240395 - 242227),151512 (151189 - 152187),91737 (91456 - 92126),60.53 (60.48 - 60.60),1.00 (1.00 - 1.00),
rwa-dhappq-ec50-1.6,182551 (176462 - 187613),114913 (111014 - 118063),19857 (14833 - 23678),17.17 (13.32 - 19.89),0.65 (0.47 - 0.76),249464 (245867 - 251817),156995 (154562 - 158493),83663 (73664 - 86887),52.66 (47.34 - 54.82),0.93 (0.87 - 0.96),243270 (242230 - 244386),152888 (152262 - 153630),98586 (98238 - 99062),64.51 (64.41 - 64.55),1.00 (1.00 - 1.00),
rwa-dhappq-high,178909 (173642 - 183086),112526 (109124 - 115305),16487 (12429 - 18852),14.61 (11.39 - 16.38),0.63 (0.45 - 0.72),237554 (231732 - 239644),149489 (146241 - 150814),65201 (54712 - 67894),43.50 (37.49 - 45.30),0.91 (0.81 - 0.94),238415 (237390 - 239089),149890 (149199 - 150425),85748 (85314 - 86027),57.24 (57.08 - 57.31),1.00 (1.00 - 1.00),
rwa-dhappq-low,178830 (176277 - 183939),112504 (110487 - 115856),16207 (14372 - 19694),14.46 (12.93 - 17.04),0.60 (0.50 - 0.70),237322 (234683 - 239886),149258 (147765 - 151112),64600 (60408 - 69971),43.31 (40.66 - 46.34),0.89 (0.84 - 0.93),239016 (238503 - 239936),150387 (149960 - 150950),88129 (87914 - 88509),58.64 (58.54 - 58.71),1.00 (1.00 - 1.00),
rwa-dhappq-moderate,179814 (176421 - 182968),113124 (111028 - 115006),17199 (15265 - 19001),15.21 (13.60 - 16.73),0.63 (0.56 - 0.72),238556 (236283 - 239981),150181 (148807 - 151091),66334 (62074 - 69886),44.21 (41.79 - 46.14),0.91 (0.87 - 0.94),239286 (238255 - 240240),150530 (149859 - 151043),87132 (86582 - 87561),57.94 (57.85 - 58.02),1.00 (1.00 - 1.00),
rwa-mft-al-asaq-0.25,192120 (190361 - 193935),120913 (119666 - 121995),14955 (13348 - 16555),12.44 (11.20 - 13.54),0.62 (0.52 - 0.72),202736 (200349 - 204105),127447 (126027 - 128349),18616 (16829 - 20310),14.64 (13.44 - 15.85),0.77 (0.68 - 0.84),228336 (227146 - 229304),143598 (142816 - 144226),28203 (26288 - 29976),19.66 (18.45 - 20.83),0.96 (0.94 - 0.97),
rwa-mft-al-asaq-0.75,186798 (185752 - 188483),117439 (116666 - 118491),12030 (10653 - 13024),10.19 (9.14 - 11.00),0.58 (0.46 - 0.67),197211 (196107 - 198516),123959 (123266 - 124750),14327 (12957 - 15282),11.52 (10.47 - 12.22),0.71 (0.61 - 0.79),221754 (220482 - 222749),139327 (138602 - 140042),20229 (19423 - 20719),14.51 (14.01 - 14.82),0.92 (0.88 - 0.95),
rwa-mft-al-asaq,189432 (187078 - 190618),119020 (117582 - 119737),13344 (11591 - 14209),11.19 (9.82 - 11.92),0.60 (0.48 - 0.68),198908 (197548 - 200399),125023 (124215 - 126042),15929 (14148 - 16859),12.77 (11.40 - 13.36),0.73 (0.62 - 0.80),222888 (221470 - 223786),140056 (139186 - 140654),21739 (20606 - 22484),15.48 (14.81 - 16.02),0.94 (0.89 - 0.96),
rwa-mft-al-dhappq-0.25,187324 (185423 - 189198),117702 (116641 - 118834),13926 (12264 - 15327),11.79 (10.49 - 12.94),0.63 (0.53 - 0.72),199079 (197563 - 200652),125181 (124162 - 126192),18236 (16246 - 19565),14.59 (13.14 - 15.46),0.78 (0.70 - 0.84),228939 (227604 - 230130),143966 (143152 - 144706),32070 (30644 - 33686),22.41 (21.38 - 23.41),0.97 (0.95 - 0.98),
rwa-mft-al-dhappq-0.75,176599 (174364 - 179000),111065 (109578 - 112508),11632 (10213 - 13037),10.48 (9.31 - 11.60),0.62 (0.50 - 0.68),213246 (209714 - 216566),134346 (132053 - 136371),33894 (30551 - 37315),25.24 (23.19 - 27.34),0.84 (0.77 - 0.88),237124 (236014 - 237854),149031 (148412 - 149583),68275 (67938 - 68695),45.90 (45.69 - 46.06),1.00 (0.99 - 1.00),
rwa-mft-al-dhappq,180874 (179598 - 182060),113636 (112848 - 114426),11698 (10654 - 12967),10.30 (9.47 - 11.32),0.62 (0.53 - 0.71),199023 (196557 - 200754),125205 (123685 - 126252),19589 (17882 - 21160),15.68 (14.48 - 16.76),0.79 (0.71 - 0.85),237705 (236655 - 238762),149444 (148768 - 150135),52710 (51842 - 53467),35.26 (34.78 - 35.90),0.99 (0.98 - 0.99),
